IC0163;G;27.3124583833;20.711305555555555;13.26;;;1.62;0.73;90
IC0164;G;27.2850416947;-2.0956111111111113;;;;1.58;1.35;167
IC0166;OCl;28.0992500794;61.85261111111111;11.70;;;7.50;;
IC0167;G;27.7856666952;21.912805555555554;13.26;;;1.60;0.94;107
IC0168;G;27.6151250921;-7.477055555555555;;;;1.12;0.39;104
IC0169;G;27.6640001312;-11.320388888888889;;;;0.74;0.51;76
IC0170;G;27.9896668584;-7.482388888888889;;;;0.78;0.60;92
IC0171;G;28.7925417007;35.281888888888886;;;;2.26;1.90;107
IC0172;G;28.7259585141;0.8112222222222223;;;;0.48;0.37;95
IC0173;G;28.9881251905;1.2851666666666666;14.09;;;0.92;0.72;90
IC0174;G;29.0670000536;3.761861111111111;;;;1.49;0.99;97
IC0175;G;29.0785833962;1.3324166666666666;;;;0.52;0.46;9
IC0176;G;29.222500178;-1.9810277777777778;;;;1.78;0.38;94
IC0177;G;29.2524166686;0.08986111111111111;;;;0.51;0.47;11
IC0178;G;29.7286251829;36.67469444444444;13.28;;;0.94;0.79;159
IC0179;G;30.047916705;38.02133333333333;12.56;;;1.12;0.90;111
IC0180;G;30.0017083347;23.604333333333336;;;;0.83;0.34;150
IC0181;G;30.0097083411;23.658638888888888;;;;0.57;0.49;55
IC0182;G;29.9658751727;7.411833333333334;;;;1.06;0.70;36
IC0183;G;29.8918751135;-4.652861111111111;;;;1.19;0.37;98
IC0184;G;29.9634585041;-5.159611111111111;13.89;;;1.12;0.59;178
IC0185;G;30.0251666868;-0.4716666666666666;;;;0.79;0.33;82
IC0186;GTrpl;30.102083415;-0.4482777777777777;;;;1.10;;
IC0186A;G;30.10000008;-0.44713888888888886;;;;1.21;0.76;33
IC0186B;G;30.1060417515;-0.45019444444444445;;;;0.69;0.47;0
IC0186 NED03;G;30.105833418;-0.4491666666666666;;;;0.25;0.20;101
IC0187;G;30.3781667692;26.48097222222222;;;;2.23;0.73;70
IC0188;G;30.443750155;26.54688888888889;;;;0.54;0.28;46
IC0189;G;30.4704585097;23.5515;;;;0.78;0.67;86
IC0190;G;30.5303333576;23.549833333333336;;;;0.25;0.20;95
IC0192;G;30.6349584413;16.014166666666668;;;;0.95;0.67;148
IC0193;G;30.6290834366;11.093083333333334;;;;1.36;0.97;154
IC0194;G;30.7717500174;2.61425;;;;1.85;0.33;14
IC0195;G;30.9358751487;14.709277777777777;13.15;;;1.46;0.72;135
